source_file	tokens	prep_errors	tok_errors	warnings	skipped	prep_error_detail	tok_error_detail
phi0119.phi001.perseus-eng2.xml	18329	0	0	0			
phi0119.phi001.perseus-lat2.xml	9262	0	0	0			
phi0119.phi002.perseus-eng2.xml	13532	0	0	0			
phi0119.phi002.perseus-lat2.xml	7519	0	0	0			
phi0119.phi003.perseus-eng2.xml	12569	0	0	0			
phi0119.phi003.perseus-lat2.xml	6521	0	0	0			
phi0119.phi004.perseus-eng2.xml	17305	0	0	0			
phi0119.phi004.perseus-lat2.xml	9152	0	0	0			
phi0119.phi005.perseus-eng2.xml	14218	0	0	0			
phi0119.phi005.perseus-lat2.xml	8226	0	0	0			
phi0119.phi006.perseus-eng2.xml	12349	0	0	0			
phi0119.phi006.perseus-lat2.xml	7168	0	0	0			
phi0119.phi007.perseus-eng2.xml	7134	0	0	0			
phi0119.phi007.perseus-lat2.xml	4889	0	0	0			
phi0119.phi008.perseus-eng2.xml	10259	0	0	0			
phi0119.phi008.perseus-lat2.xml	5673	0	0	0			
phi0119.phi009.perseus-eng2.xml	10639	0	0	0			
phi0119.phi009.perseus-lat2.xml	5940	0	0	0			
phi0119.phi010.perseus-eng2.xml	15266	0	0	0			
phi0119.phi010.perseus-lat2.xml	8880	0	0	0			
phi0119.phi011.perseus-eng2.xml	15820	0	0	0			
phi0119.phi011.perseus-lat2.xml	7827	0	0	0			
phi0119.phi012.perseus-eng2.xml	20726	0	0	0			
phi0119.phi012.perseus-lat2.xml	11763	0	0	0			
phi0119.phi013.perseus-eng2.xml	15362	0	0	0			
phi0119.phi013.perseus-lat2.xml	8829	0	0	0			
phi0119.phi014.perseus-eng2.xml	12533	0	0	0			
phi0119.phi014.perseus-lat2.xml	7149	0	0	0			
phi0119.phi015.perseus-eng2.xml	18058	0	0	0			
phi0119.phi015.perseus-lat2.xml	10146	0	0	0			
phi0119.phi016.perseus-eng2.xml	18105	0	0	0			
phi0119.phi016.perseus-lat2.xml	10259	0	0	0			
phi0119.phi017.perseus-eng2.xml	19191	0	0	0			
phi0119.phi017.perseus-lat2.xml	10999	0	0	0			
phi0119.phi018.perseus-eng2.xml	10277	0	0	0			
phi0119.phi018.perseus-lat2.xml	5802	0	0	0			
phi0119.phi019.perseus-eng2.xml	17028	0	0	0			
phi0119.phi019.perseus-lat2.xml	9257	0	0	0			
phi0119.phi020.perseus-eng2.xml	13788	0	0	0			
phi0119.phi020.perseus-lat2.xml	7749	0	0	0			
phi0134.phi001.perseus-eng2.xml	14447	0	0	0			
phi0134.phi001.perseus-lat2.xml	9006	0	0	0			
phi0134.phi002.perseus-eng2.xml	15639	0	0	0			
phi0134.phi002.perseus-lat2.xml	10156	0	0	0			
phi0134.phi003.perseus-eng2.xml	15793	0	0	0			
phi0134.phi003.perseus-lat2.xml	9988	0	0	0			
phi0134.phi004.perseus-eng2.xml	15826	0	0	0			
phi0134.phi004.perseus-lat2.xml	9955	0	0	0			
phi0134.phi005.perseus-eng2.xml	12844	0	0	0			
phi0134.phi005.perseus-lat2.xml	8577	0	0	0			
phi0134.phi006.perseus-eng2.xml	14228	0	0	0			
phi0134.phi006.perseus-lat2.xml	9178	0	0	0			
phi0426.phi001.perseus-eng1.xml	22005	0	0	0			
phi0426.phi001.perseus-lat1.xml	12989	0	0	0			
phi0428.phi001.perseus-eng1.xml	17893	0	0	0			
phi0428.phi001.perseus-lat1.xml	10406	0	0	0			
phi0430.phi001.perseus-lat1.xml	6037	0	0	0			
phi0448.phi001.perseus-eng2.xml	85759	0	0	0			
phi0448.phi001.perseus-lat2.xml	51311	0	0	0			
phi0448.phi002.perseus-eng2.xml	53076	0	0	0			
phi0448.phi002.perseus-eng3.xml	50803	0	0	0			
phi0448.phi002.perseus-lat2.xml	32322	0	0	0			
phi0448.phi002.perseus-lat3.xml	32327	0	0	0			
phi0472.phi001.perseus-eng3.xml	20262	0	0	0			
phi0472.phi001.perseus-eng4.xml	19264	0	0	0			
phi0472.phi001.perseus-lat2.xml	12867	0	0	0			
phi0474.phi001.perseus-eng2.xml	14598	0	0	0			
phi0474.phi001.perseus-lat2.xml	8649	0	0	0			
phi0474.phi002.perseus-eng2.xml	21596	0	0	0			
phi0474.phi002.perseus-lat2.xml	13340	0	0	0			
phi0474.phi003.perseus-eng2.xml	8230	0	0	0			
phi0474.phi003.perseus-lat2.xml	4776	0	0	0			
phi0474.phi004.perseus-eng2.xml	10359	0	0	0			
phi0474.phi004.perseus-lat2.xml	5823	0	0	0			
phi0474.phi005.perseus-eng2.xml	176635	0	0	0			
phi0474.phi005.perseus-lat2.xml	100321	0	0	0			
phi0474.phi006.perseus-eng2.xml	6232	0	0	0			
phi0474.phi006.perseus-lat2.xml	3472	0	0	0			
phi0474.phi007.perseus-eng2.xml	7598	0	0	0			
phi0474.phi007.perseus-lat2.xml	4552	0	0	0			
phi0474.phi008.perseus-eng2.xml	18331	0	0	0			
phi0474.phi008.perseus-lat2.xml	10375	0	0	0			
phi0474.phi009.perseus-eng2.xml	11616	0	0	0			
phi0474.phi009.perseus-lat2.xml	6720	0	0	0			
phi0474.phi010.perseus-eng2.xml	36456	0	0	0			
phi0474.phi010.perseus-lat2.xml	20936	0	0	0			
phi0474.phi011.perseus-eng2.xml	25611	0	0	0			
phi0474.phi011.perseus-lat2.xml	13907	0	0	0			
phi0474.phi012.perseus-eng3.xml	6552	0	0	0			
phi0474.phi012.perseus-lat2.xml	3650	0	0	0			
phi0474.phi013.perseus-eng2.xml	22370	0	0	0			
phi0474.phi013.perseus-lat2.xml	12736	0	0	0			
phi0474.phi014.perseus-eng2.xml	19071	0	0	0			
phi0474.phi014.perseus-lat2.xml	10653	0	0	0			
phi0474.phi015.perseus-eng2.xml	16626	0	0	0			
phi0474.phi015.perseus-lat2.xml	9291	0	0	0			
phi0474.phi016.perseus-eng2.xml	5723	0	0	0			
phi0474.phi016.perseus-lat2.xml	3118	0	0	0			
phi0474.phi017.perseus-eng2.xml	20052	0	0	0			
phi0474.phi017.perseus-lat2.xml	10900	0	0	0			
phi0474.phi018.perseus-eng2.xml	4776	0	0	0			
phi0474.phi018.perseus-lat2.xml	2644	0	0	0			
phi0474.phi019.perseus-eng2.xml	9019	0	0	0			
phi0474.phi019.perseus-lat2.xml	4331	0	0	0			
phi0474.phi020.perseus-eng1.xml	27607	0	0	0			
phi0474.phi020.perseus-lat2.xml	15125	0	0	0			
phi0474.phi021.perseus-eng1.xml	13596	0	0	0			
phi0474.phi021.perseus-lat2.xml	7524	0	0	0			
phi0474.phi022.perseus-eng1.xml	31313	0	0	0			
phi0474.phi022.perseus-lat2.xml	16765	0	0	0			
phi0474.phi023.perseus-eng1.xml	8539	0	0	0			
phi0474.phi023.perseus-lat2.xml	4478	0	0	0			
phi0474.phi024.perseus-eng1.xml	16337	0	0	0			
phi0474.phi024.perseus-lat2.xml	8551	0	0	0			
phi0474.phi025.perseus-eng1.xml	9902	0	0	0			
phi0474.phi025.perseus-lat2.xml	5128	0	0	0			
phi0474.phi026.perseus-eng1.xml	13233	0	0	0			
phi0474.phi026.perseus-lat2.xml	6787	0	0	0			
phi0474.phi027.perseus-eng1.xml	20041	0	0	0			
phi0474.phi027.perseus-lat2.xml	10878	0	0	0			
phi0474.phi028.perseus-eng1.xml	21514	0	0	0			
phi0474.phi028.perseus-lat2.xml	11609	0	0	0			
phi0474.phi029.perseus-eng1.xml	7434	0	0	0			
phi0474.phi029.perseus-lat2.xml	3002	0	0	0			
phi0474.phi030.perseus-eng1.xml	7660	0	0	0			
phi0474.phi030.perseus-lat2.xml	4077	0	0	0			
phi0474.phi031.perseus-eng1.xml	19484	0	0	0			
phi0474.phi031.perseus-lat2.xml	10498	0	0	0			
phi0474.phi032.perseus-eng1.xml	4968	0	0	0			
phi0474.phi032.perseus-lat2.xml	2768	0	0	0			
phi0474.phi033.perseus-eng1.xml	6114	0	0	0			
phi0474.phi033.perseus-lat2.xml	3277	0	0	0			
phi0474.phi034.perseus-eng1.xml	7304	0	0	0			
phi0474.phi034.perseus-lat2.xml	3905	0	0	0			
phi0474.phi035.perseus-eng1.xml	100336	0	0	0			
phi0474.phi035.perseus-lat2.xml	52583	0	0	0			
phi0474.phi036.perseus-lat1.xml	33108	0	0	0			
phi0474.phi037.perseus-lat1.xml	61765	0	0	0			
phi0474.phi038.perseus-lat1.xml	9789	0	0	0			
phi0474.phi039.perseus-lat1.xml	25043	0	0	0			
phi0474.phi040.perseus-lat1.xml	18392	0	0	0			
phi0474.phi041.perseus-lat1.xml	1589	0	0	0			
phi0474.phi042.perseus-lat1.xml	6814	0	0	0			
phi0474.phi043.perseus-lat1.xml	22251	0	0	0			
phi0474.phi045.perseus-lat1.xml	4872	0	0	0			
phi0474.phi046.perseus-lat1.xml	17975	0	0	0			
phi0474.phi047.perseus-lat1.xml	4362	0	0	0			
phi0474.phi048.perseus-lat1.xml	50956	0	0	0			
phi0474.phi049.perseus-lat1.xml	62447	0	0	0			
phi0474.phi050.perseus-lat1.xml	35741	0	0	0			
phi0474.phi051.perseus-eng1.xml	13527	0	0	0			
phi0474.phi051.perseus-lat1.xml	8259	0	0	0			
phi0474.phi052.perseus-eng2.xml	15226	0	0	0			
phi0474.phi052.perseus-lat2.xml	9303	0	0	0			
phi0474.phi053.perseus-eng1.xml	45909	0	0	0			
phi0474.phi053.perseus-lat1.xml	27834	0	0	0			
phi0474.phi053.perseus-lat2.xml	0	1	0	0	yes	Error 
  SXXP0003  I/O error reported by XML parser processing
  file:///Users/wulfmanc/repos/gh/PerseusDLCode/mvp/data/canonical-latinLit/data/phi0474/phi053/phi0474.phi053.perseus-lat2.xml. Caused by java.io.FileNotFoundException: https://tei-c.org/guidelines/DTD/tei2.dtd
	
phi0474.phi054.perseus-lat1.xml	5209	0	0	0			
phi0474.phi055.perseus-eng1.xml	57686	0	0	0			
phi0474.phi055.perseus-lat1.xml	33852	0	0	0			
phi0474.phi056.perseus-eng1.xml	227498	0	0	0			
phi0474.phi056.perseus-lat1.xml	116210	0	0	0			
phi0474.phi057.perseus-eng1.xml	213462	0	0	0			
phi0474.phi057.perseus-lat1.xml	124153	0	0	0			
phi0474.phi058.perseus-eng1.xml	60442	0	0	0			
phi0474.phi058.perseus-lat1.xml	18464	0	0	0			
phi0474.phi059.perseus-eng1.xml	16046	0	0	0			
phi0474.phi059.perseus-lat1.xml	9551	0	0	0			
phi0474.phi072.perseus-lat1.xml	4232	0	0	0			
phi0478.phi003.perseus-eng1.xml	7157	0	0	0			
phi0478.phi003.perseus-lat2.xml	4360	0	0	0			
phi0550.phi001.perseus-eng1.xml	74054	0	0	0			
phi0550.phi001.perseus-lat1.xml	48892	0	0	0			
phi0588.abo001.perseus-lat2.xml	1334	0	0	0			
phi0588.abo002.perseus-lat2.xml	1712	0	0	0			
phi0588.abo003.perseus-lat2.xml	342	0	0	0			
phi0588.abo004.perseus-lat2.xml	882	0	0	0			
phi0588.abo005.perseus-lat2.xml	536	0	0	0			
phi0588.abo006.perseus-lat2.xml	540	0	0	0			
phi0588.abo007.perseus-lat2.xml	2020	0	0	0			
phi0588.abo008.perseus-lat2.xml	600	0	0	0			
phi0588.abo009.perseus-lat2.xml	734	0	0	0			
phi0588.abo010.perseus-lat2.xml	1484	0	0	0			
phi0588.abo011.perseus-lat2.xml	409	0	0	0			
phi0588.abo012.perseus-lat2.xml	489	0	0	0			
phi0588.abo013.perseus-lat2.xml	651	0	0	0			
phi0588.abo014.perseus-lat2.xml	1822	0	0	0			
phi0588.abo015.perseus-lat2.xml	1669	0	0	0			
phi0588.abo016.perseus-lat2.xml	712	0	0	0			
phi0588.abo017.perseus-lat2.xml	1389	0	0	0			
phi0588.abo018.perseus-lat2.xml	2289	0	0	0			
phi0588.abo019.perseus-lat2.xml	533	0	0	0			
phi0588.abo020.perseus-lat2.xml	828	0	0	0			
phi0588.abo021.perseus-lat2.xml	443	0	0	0			
phi0588.abo022.perseus-lat2.xml	519	0	0	0			
phi0588.abo023.perseus-lat2.xml	2098	0	0	0			
phi0588.abo024.perseus-lat2.xml	454	0	0	0			
